"variable","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",369.24239397484,55.4790066843953,6.65553361608217,2.82274026841464e-11
"PAR_TC",-0.522649074496042,0.248546613360023,-2.10282114662725,0.0354814067821344
"PAR_ASE1",-130.362550286063,19.1405018935336,-6.8108219424541,9.70426821537857e-12
"PAR_ASE2",194.337081363878,26.3143131418141,7.38522340737339,1.52197615847185e-13
"PAR_ASE3",-67.1807529599515,27.5682589356146,-2.43688776708212,0.0148142765162833
"PAR_ASE4",73.5635393308656,21.205486328101,3.4690805102348,0.000522242927125173
"PAR_ASE12",79.7837857532396,10.9222418082572,7.30470787534872,2.77869771528853e-13
"PAR_ASE13",13.2301860075476,11.238928369875,1.177175044821,0.239125646954767
"PAR_ASE16",-67.6518027727045,14.6450885382242,-4.61941917224542,3.84815747679478e-06
"PAR_ASE18",48.5882369787212,20.9337945405358,2.32104298552448,0.0202845240024012
"PAR_ASE19",61.8185060859555,16.5783112765421,3.72887835526572,0.000192333964007156
"PAR_ASE20",-25.7540624120107,16.364865109667,-1.57374119734097,0.11554729337762
"PAR_ASE22",25.5157660466924,19.2042307566839,1.32865337695506,0.183962353319343
"PAR_ASE23",70.5542994976586,26.2189416225437,2.69096672601743,0.00712453003870937
"PAR_ASE24",57.7774803021481,21.1898688690668,2.72665586838493,0.00639797269264235
"PAR_ASE28",-58.346489888011,25.3835115294481,-2.29859804150114,0.0215277748734561
"PAR_ASE29",-59.7210716466989,24.4801297003069,-2.43957333469317,0.0147046177511444
"PAR_ASE30",168.228798352645,26.3283584506269,6.38964250916445,1.66274015350865e-10
"PAR_ASE31",-69.7503886935869,21.3632047057954,-3.26497778091623,0.00109472663582116
"PAR_ASE33",6695.72647018893,700.958449341827,9.55224446823626,1.26916346942215e-21
"PAR_ASE34",-6653.55466924148,704.710747067246,-9.44153994661099,3.67340386200471e-21
"PAR_ASEV2",2224.84078461671,715.362615245177,3.11008813880243,0.00187031525442124
"PAR_ASEV3",-2266.11739283999,639.218485800015,-3.54513745015341,0.00039240840176716
"PAR_ASEV13",394.083058842448,419.997006136431,0.938299685675462,0.348090421247055
"PAR_ASEV19",-1025.52533258725,551.29627096869,-1.8602072725529,0.0628562065299039
"PAR_ASEV20",-718.42275944922,512.771542295907,-1.40105817150562,0.161196678450688
"PAR_ASEV24",3079.37873943186,852.075677065942,3.6139732917098,0.000301540137783172
"PAR_ASEV25",4394.09242060363,943.230243784428,4.65855759986411,3.18432711248174e-06
"PAR_ASEV26",2587.72811546797,893.556543718666,2.89598697884161,0.00377968082871454
"PAR_ASEV28",5294.32188226769,1295.81562328736,4.08570616615695,4.39429612091928e-05
